week	copies_ml	population	region	actuals.hospitalBeds.weeklyCovidAdmissions	actuals.hospitalBeds.currentUsageCovid	actuals.icuBeds.currentUsageCovid	actuals.newDeaths	admits_rolling10	beds_rolling10	icu_rolling10	deaths_rolling5	hosp_date	deaths_date	admits_later	beds_later	icu_later	deaths_later
2021-12-22	3103.678983329981	3,000,000-10,000,000	Nationwide	57498	71599	16207	2086	57647.09090909091	70704.36363636363	16109.363636363636	1673.6666666666667	2022-01-05	2022-01-19	115164.54545454546	121684.81818181818	20833.272727272728	2347.1666666666665
2021-12-29	4824.352886756187	3,000,000-10,000,000	Nationwide	78454	93024	17782	2101	76622.36363636363	87782.81818181818	17453.363636363636	1504.0	2022-01-12	2022-01-26	144213.54545454544	149868.72727272726	24457.272727272728	2764.5
2022-01-05	4636.865551831208	3,000,000-10,000,000	Nationwide	121804	129181	21463	2128	115164.54545454546	121684.81818181818	20833.272727272728	1838.0	2022-01-19	2022-02-02	148908.54545454544	157352.45454545456	25874.81818181818	2857.5
2022-01-12	3524.218934694592	3,000,000-10,000,000	Nationwide	148998	156904	25260	2731	144213.54545454544	149868.72727272726	24457.272727272728	2129.0	2022-01-26	2022-02-09	136709.18181818182	147241.63636363635	24907.272727272728	2685.5
2022-01-19	2063.3672587548667	3,000,000-10,000,000	Nationwide	149358	161164	26390	3376	148908.54545454544	157352.45454545456	25874.81818181818	2347.1666666666665	2022-02-02	2022-02-16	114122.45454545454	125132.09090909091	22091.545454545456	2482.0
2022-01-26	1373.5651504544455	10,000,000-30,000,000	Nationwide	135791	148164	25021	3895	136709.18181818182	147241.63636363635	24907.272727272728	2764.5	2022-02-09	2022-02-23	86743.45454545454	99019.54545454546	18100.909090909092	2106.8333333333335
2022-02-02	850.6538695050695	10,000,000-30,000,000	Nationwide	110865	123543	21872	3631	114122.45454545454	125132.09090909091	22091.545454545456	2857.5	2022-02-16	2022-03-02	62821.36363636364	74510.36363636363	13746.454545454546	1704.0
2022-02-09	410.457785837042	10,000,000-30,000,000	Nationwide	82220	96345	17692	3570	86743.45454545454	99019.54545454546	18100.909090909092	2685.5	2022-02-23	2022-03-09	43935.90909090909	55398.545454545456	10101.818181818182	1421.5
2022-02-16	227.92861520971624	10,000,000-30,000,000	Nationwide	59172	71333	13140	3306	62821.36363636364	74510.36363636363	13746.454545454546	2482.0	2022-03-02	2022-03-16	32124.636363636364	41927.27272727273	7331.090909090909	1190.0
2022-02-23	153.22166629541303	10,000,000-30,000,000	Nationwide	41129	52751	9622	3024	43935.90909090909	55398.545454545456	10101.818181818182	2106.8333333333335	2022-03-09	2022-03-23	23886.363636363636	31241.18181818182	5162.181818181818	868.0
2022-03-02	117.68983239760944	10,000,000-30,000,000	Nationwide	30745	40504	6980	2348	32124.636363636364	41927.27272727273	7331.090909090909	1704.0	2022-03-16	2022-03-30	17421.545454545456	23805.454545454544	3632.090909090909	740.8333333333334
2022-03-09	107.02597865875998	10,000,000-30,000,000	Nationwide	22584	29857	4862	1813	23886.363636363636	31241.18181818182	5162.181818181818	1421.5	2022-03-23	2022-04-06	13367.636363636364	19263.454545454544	2703.0	582.6666666666666
2022-03-16	116.13617575958456	10,000,000-30,000,000	Nationwide	16455	22521	3416	2033	17421.545454545456	23805.454545454544	3632.090909090909	1190.0	2022-03-30	2022-04-13	11449.545454545454	16361.727272727272	2072.2727272727275	564.1666666666666
2022-03-23	123.10653211155852	10,000,000-30,000,000	Nationwide	12928	18967	2588	1355	13367.636363636364	19263.454545454544	2703.0	868.0	2022-04-06	2022-04-20	10412.90909090909	14955.818181818182	1729.7272727272727	395.5
2022-03-30	170.8465664901446	10,000,000-30,000,000	Nationwide	11178	16236	2021	1208	11449.545454545454	16361.727272727272	2072.2727272727275	740.8333333333334	2022-04-13	2022-04-27	10571.363636363636	14631.90909090909	1546.0	373.3333333333333
2022-04-06	241.9092120826552	10,000,000-30,000,000	Nationwide	10209	15180	1695	1117	10412.90909090909	14955.818181818182	1729.7272727272727	582.6666666666666	2022-04-20	2022-05-04	11613.727272727272	15168.90909090909	1463.8181818181818	693.0
2022-04-13	298.84503609802186	10,000,000-30,000,000	Nationwide	10613	14676	1514	994	10571.363636363636	14631.90909090909	1546.0	564.1666666666666	2022-04-27	2022-05-11	13786.363636363636	16640.0	1525.909090909091	335.8333333333333
2022-04-20	345.05968999921305	10,000,000-30,000,000	Nationwide	11722	15512	1435	611	11613.727272727272	15168.90909090909	1463.8181818181818	395.5	2022-05-04	2022-05-18	16552.454545454544	18279.636363636364	1659.2727272727273	347.6666666666667
2022-04-27	426.1831682175612	10,000,000-30,000,000	Nationwide	14201	17516	1574	671	13786.363636363636	16640.0	1525.909090909091	373.3333333333333	2022-05-11	2022-05-25	19510.545454545456	20662.636363636364	1821.4545454545455	
2022-05-04	497.42532623889855	10,000,000-30,000,000	Nationwide	16827	18935	1707	1933	16552.454545454544	18279.636363636364	1659.2727272727273	693.0	2022-05-18	2022-06-01	22979.7	23711.4	2116.9	
2022-05-11	650.1224469624357	10,000,000-30,000,000	Nationwide	19683	21056	1871	565	19510.545454545456	20662.636363636364	1821.4545454545455	335.8333333333333	2022-05-25	2022-06-08				
2022-05-18	755.9472576478902	10,000,000-30,000,000	Nationwide	24163	24838	2256	580	22979.7	23711.4	2116.9	347.6666666666667	2022-06-01	2022-06-15				
